id,manufacturer,model,short_name,mtow_kg,mtow_lbs,mldgw_kg,mldgw_lbs,zero_fuel_kg,zero_fuel_lbs,max_ramp_kg,max_ramp_lbs,empty_weight_kg,empty_weight_lbs,max_payload_kg,max_payload_lbs,fuel_capacity_gal,fuel_capacity_lbs,fuel_burn_gal,fuel_burn_lbs,min_fuel_landed_gal,min_fuel_landed_lbs,min_fuel_alternate_gal,min_fuel_alternate_lbs,cargo_positions_main_deck,cargo_positions_lower_deck,cruise_speed,acmi_cost,created_at,updated_at
ACFT01,AIRBUS,A-321-P2F,A321F,93500.0,206131.97,77791.18,171500.0,73799.57,162700.0,93893.73,207000.0,47500.25,104720.0,27000.0,59524.74,7930.0,53131.0,895.52,6000.0,746.27,5000.0,1119.4,7500.0,14,2,470.0,4500.0,2025-08-07 20:15:19.913292,
ACFT02,BOEING,737-800BCF,B737-8F,79015.88,174200.0,66360.64,146300.0,62731.9,138300.0,79242.68,174700.0,45812.88,101000.0,23949.71,52800.01,6875.0,46062.5,746.27,5000.01,746.27,5000.01,1119.4,7499.98,12,2,470.0,3500.0,2025-08-07 20:18:32.665710,
ACFT03,BOEING,757-200F,B757F,115666.19,255000.0,95254.51,210000.0,90718.58,200000.0,116119.78,256000.0,52557.81,115870.0,32753.94,72210.0,11276.0,75549.2,1268.66,8500.02,895.52,6000.0,1940.3,13000.0,15,2,480.0,4500.0,2025-08-07 20:21:02.084308,
ACFT04,BOEING,B-767-300-P2F,B767F,185065.91,408000.0,145149.73,320000.0,139706.62,308000.0,186880.28,412000.0,78607.65,173300.0,52616.78,116000.0,23980.0,160666.0,1300.0,8710.0,1194.03,8000.0,12000.0,80400.0,24,3,480.0,5500.0,2025-08-07 20:23:47.584349,
ACFT05,BOEING,B-777-P2F,B777F,347815.04,766800.0,260815.92,575000.0,249476.1,550000.0,348359.35,768000.0,144378.62,318300.0,102874.87,226800.0,47890.0,320863.0,1700.0,11390.0,1200.0,8040.0,2300.0,15410.0,27,3,480.0,9000.0,2025-08-07 20:26:35.753348,
