id,trader_code,country_id,city,name,revenue_taxes,operational_cost_year,export_profit_pct,export_sales_tax,export_other_taxes,export_other_cost,import_profit_pct,import_taxes,import_other_taxes,import_other_cost,created_at,updated_at
1,TR001,CO,Medellin,Fresh 24,30.0,450000.0,10.0,19.0,,,10.0,20.0,,,2025-08-07 20:32:40.677066,
2,TR002,CO,Bogota,Fresh 24 (BOG),30.0,450000.0,10.0,19.0,,,10.0,20.0,,,2025-08-07 20:33:27.645488,
3,TR003,US,Miami,Fresh 24 (MIA),20.0,650000.0,10.0,7.0,,,10.0,25.0,,,2025-08-07 20:34:17.876813,
