id,route_name,aircraft_id,route_type,from_airport_id,to_airport_id,finish_airport_id,total_distance,total_flight_time,total_route_fuel_gls,total_bh_cost_usd,total_fuel_cost_usd,total_leg_cost_usd,route_summary,aircraft_name,from_airport_name,to_airport_name,finish_airport_name,total_distance_nm,total_flight_time_hours,total_fuel_gallons,total_fuel_cost,total_block_hours_cost,total_cost,leg_details,payload_details,leg1_route,leg1_distance,leg1_flight_time,leg1_route_fuel_gls,leg1_bh_cost_usd,leg1_fuel_cost_usd,leg1_total_cost_usd,leg1_oew_lbs,leg1_fuel_weight_lbs,leg1_max_payload_lbs,leg1_no_tank_tow_lbs,leg1_avail_extra_fuel_lbs,leg1_tank_tow_lbs,leg2_route,leg2_distance,leg2_flight_time,leg2_route_fuel_gls,leg2_bh_cost_usd,leg2_fuel_cost_usd,leg2_total_cost_usd,leg2_oew_lbs,leg2_fuel_weight_lbs,leg2_max_payload_lbs,leg2_no_tank_tow_lbs,leg2_avail_extra_fuel_lbs,leg2_tank_tow_lbs,status,notes,created_by,created_at,updated_at
1,,ACFT01,one-way,1,3,,,,,,,,MDE → MIA (Leg 1 of Round-trip),A321F,MDE - Jose Maria Cordoba,MIA - Miami International,,1211.0,2.58,2307.0,8075.9,11594.68,19670.58,"[{""route"": ""MDE / MIA"", ""distance_nm"": 1211, ""flight_time_hours"": 2.58, ""fuel_gallons"": 2307, ""block_hours_cost"": 11594.68, ""fuel_cost"": 8075.9, ""total_leg_cost"": 19670.58}]","[{""route"": ""MDE / MIA"", ""empty_weight_lbs"": 104720, ""fuel_weight_lbs"": 27957, ""max_payload_lbs"": 52842, ""no_tank_tow_lbs"": 185519}]",MDE / MIA,1211.0,2.58,2307.0,11594.68,8075.9,19670.58,104720.0,27957.0,52842.0,185519.0,0.0,0.0,,,,,,,,,,,,,,active,,,2025-08-07 20:35:00.531203,
2,,ACFT01,one-way,3,1,,,,,,,,MIA → MDE (Leg 2 of Round-trip),A321F,MIA - Miami International,MDE - Jose Maria Cordoba,,1211.0,2.58,2307.0,6460.72,11594.68,18055.4,"[{""route"": ""MIA / MDE"", ""distance_nm"": 1211, ""flight_time_hours"": 2.58, ""fuel_gallons"": 2307, ""block_hours_cost"": 11594.68, ""fuel_cost"": 6460.72, ""total_leg_cost"": 18055.4}]","[{""route"": ""MIA / MDE"", ""empty_weight_lbs"": 104720, ""fuel_weight_lbs"": 27957, ""max_payload_lbs"": 54280, ""no_tank_tow_lbs"": 186957}]",MIA / MDE,1211.0,2.58,2307.0,11594.68,6460.72,18055.4,104720.0,27957.0,54280.0,186957.0,0.0,0.0,,,,,,,,,,,,,,active,,,2025-08-07 20:35:00.531203,
3,,ACFT01,one-way,2,3,,,,,,,,BOG → MIA (Leg 1 of Round-trip),A321F,BOG - El dorado,MIA - Miami International,,1315.0,2.8,2506.0,8017.78,12590.43,20608.21,"[{""route"": ""BOG / MIA"", ""distance_nm"": 1315, ""flight_time_hours"": 2.8, ""fuel_gallons"": 2506, ""block_hours_cost"": 12590.43, ""fuel_cost"": 8017.78, ""total_leg_cost"": 20608.21}]","[{""route"": ""BOG / MIA"", ""empty_weight_lbs"": 104720, ""fuel_weight_lbs"": 29290, ""max_payload_lbs"": 47386, ""no_tank_tow_lbs"": 181396}]",BOG / MIA,1315.0,2.8,2506.0,12590.43,8017.78,20608.21,104720.0,29290.0,47386.0,181396.0,0.0,0.0,,,,,,,,,,,,,,active,,,2025-08-07 20:35:23.355734,
4,,ACFT01,one-way,3,2,,,,,,,,MIA → BOG (Leg 2 of Round-trip),A321F,MIA - Miami International,BOG - El dorado,,1315.0,2.8,2506.0,7015.56,12590.43,19605.99,"[{""route"": ""MIA / BOG"", ""distance_nm"": 1315, ""flight_time_hours"": 2.8, ""fuel_gallons"": 2506, ""block_hours_cost"": 12590.43, ""fuel_cost"": 7015.56, ""total_leg_cost"": 19605.99}]","[{""route"": ""MIA / BOG"", ""empty_weight_lbs"": 104720, ""fuel_weight_lbs"": 29290, ""max_payload_lbs"": 54280, ""no_tank_tow_lbs"": 188290}]",MIA / BOG,1315.0,2.8,2506.0,12590.43,7015.56,19605.99,104720.0,29290.0,54280.0,188290.0,0.0,0.0,,,,,,,,,,,,,,active,,,2025-08-07 20:35:23.355734,
5,,ACFT01,one-way,4,3,,,,,,,,CLO → MIA (Leg 1 of Round-trip),A321F,CLO - Bonilla Aragon,MIA - Miami International,,1355.0,2.88,2582.0,9294.38,12973.4,22267.78,"[{""route"": ""CLO / MIA"", ""distance_nm"": 1355, ""flight_time_hours"": 2.88, ""fuel_gallons"": 2582, ""block_hours_cost"": 12973.4, ""fuel_cost"": 9294.38, ""total_leg_cost"": 22267.78}]","[{""route"": ""CLO / MIA"", ""empty_weight_lbs"": 104720, ""fuel_weight_lbs"": 29799, ""max_payload_lbs"": 54280, ""no_tank_tow_lbs"": 188799}]",CLO / MIA,1355.0,2.88,2582.0,12973.4,9294.38,22267.78,104720.0,29799.0,54280.0,188799.0,0.0,0.0,,,,,,,,,,,,,,active,,,2025-08-07 20:35:38.510224,
6,,ACFT01,one-way,3,4,,,,,,,,MIA → CLO (Leg 2 of Round-trip),A321F,MIA - Miami International,CLO - Bonilla Aragon,,1355.0,2.88,2582.0,7228.96,12973.4,20202.37,"[{""route"": ""MIA / CLO"", ""distance_nm"": 1355, ""flight_time_hours"": 2.88, ""fuel_gallons"": 2582, ""block_hours_cost"": 12973.4, ""fuel_cost"": 7228.96, ""total_leg_cost"": 20202.37}]","[{""route"": ""MIA / CLO"", ""empty_weight_lbs"": 104720, ""fuel_weight_lbs"": 29799, ""max_payload_lbs"": 54280, ""no_tank_tow_lbs"": 188799}]",MIA / CLO,1355.0,2.88,2582.0,12973.4,7228.96,20202.37,104720.0,29799.0,54280.0,188799.0,0.0,0.0,,,,,,,,,,,,,,active,,,2025-08-07 20:35:38.510224,
